Date,Open_Paris,High_Paris,Low_Paris,Close_Paris,Volume_Paris,AdjClose_Paris,Return_Paris
1990-03-01,1836.0,1838.0,1827.0,1832.0,0,1832.0,
1990-03-02,1831.0,1860.0,1831.0,1860.0,0,1860.0,0.0152838427948
1990-03-05,1866.0,1874.0,1862.0,1874.0,0,1874.0,0.00752688172043
1990-03-06,1869.0,1875.0,1866.0,1872.0,0,1872.0,-0.00106723585912
1990-03-07,1874.0,1881.0,1874.0,1880.0,0,1880.0,0.0042735042735
1990-03-08,1891.0,1923.0,1891.0,1917.0,0,1917.0,0.0196808510638
1990-03-09,1936.0,1941.0,1921.0,1921.0,0,1921.0,0.00208659363589
1990-03-12,1917.0,1918.0,1912.0,1912.0,0,1912.0,-0.00468505986465
1990-03-13,1924.0,1924.0,1924.0,1924.0,0,1924.0,0.00627615062761
1990-03-14,1919.0,1946.0,1919.0,1946.0,0,1946.0,0.0114345114345
1990-03-15,1966.0,1967.0,1950.0,1964.0,0,1964.0,0.00924974306269
1990-03-16,1963.0,1967.0,1952.0,1958.0,0,1958.0,-0.0030549898167
1990-03-19,1950.0,1953.0,1931.0,1936.0,0,1936.0,-0.0112359550562
1990-03-20,1934.0,1941.0,1922.0,1925.0,0,1925.0,-0.00568181818182
1990-03-21,1926.0,1940.0,1924.0,1938.0,0,1938.0,0.00675324675325
1990-03-22,1918.0,1931.0,1910.0,1914.0,0,1914.0,-0.0123839009288
1990-03-23,1924.0,1944.0,1923.0,1937.0,0,1937.0,0.0120167189133
1990-03-26,1948.0,1967.0,1948.0,1964.0,0,1964.0,0.0139390810532
1990-03-27,1956.0,1959.0,1944.0,1946.0,0,1946.0,-0.0091649694501
1990-03-28,1944.0,1948.0,1931.0,1939.0,0,1939.0,-0.00359712230216
1990-03-29,1944.0,1953.0,1940.0,1947.0,0,1947.0,0.00412583806086
1990-03-30,1943.0,1975.0,1943.0,1972.0,0,1972.0,0.0128402670776
1990-04-02,1951.0,1962.0,1937.0,1947.0,0,1947.0,-0.012677484787
1990-04-03,1953.0,1990.0,1953.0,1985.0,0,1985.0,0.0195172059579
1990-04-04,1997.0,2014.0,1994.0,2001.0,0,2001.0,0.0080604534005
1990-04-05,2004.0,2034.0,1997.0,2028.0,0,2028.0,0.0134932533733
1990-04-06,2054.0,2081.0,2053.0,2070.0,0,2070.0,0.0207100591716
1990-04-09,2076.0,2086.0,2063.0,2083.0,0,2083.0,0.00628019323671
1990-04-10,2076.0,2079.0,2065.0,2075.0,0,2075.0,-0.00384061449832
1990-04-11,2074.0,2107.0,2072.0,2103.0,0,2103.0,0.0134939759036
1990-04-12,2105.0,2117.0,2096.0,2117.0,0,2117.0,0.00665715644318
1990-04-17,2122.0,2141.0,2117.0,2126.0,0,2126.0,0.00425129900803
1990-04-18,2128.0,2128.0,2096.0,2098.0,0,2098.0,-0.0131702728128
1990-04-19,2073.0,2102.0,2072.0,2097.0,0,2097.0,-0.00047664442326
1990-04-20,2101.0,2131.0,2100.0,2129.0,0,2129.0,0.0152598950882
1990-04-23,2126.0,2138.0,2084.0,2090.0,0,2090.0,-0.0183184593706
1990-04-24,2082.0,2109.0,2082.0,2101.0,0,2101.0,0.00526315789474
1990-04-25,2104.0,2114.0,2091.0,2092.0,0,2092.0,-0.00428367444074
1990-04-26,2100.0,2108.0,2067.0,2072.0,0,2072.0,-0.00956022944551
1990-04-27,2080.0,2080.0,2054.0,2066.0,0,2066.0,-0.00289575289575
1990-04-30,2057.0,2057.0,2032.0,2046.0,0,2046.0,-0.00968054211036
1990-05-02,2056.0,2073.0,2048.0,2066.0,0,2066.0,0.00977517106549
1990-05-03,2085.0,2104.0,2081.0,2099.0,0,2099.0,0.0159728944821
1990-05-04,2108.0,2116.0,2096.0,2099.0,0,2099.0,0.0
1990-05-07,2111.0,2122.0,2103.0,2120.0,0,2120.0,0.0100047641734
1990-05-09,2133.0,2134.0,2103.0,2103.0,0,2103.0,-0.00801886792453
1990-05-10,2104.0,2106.0,2089.0,2104.0,0,2104.0,0.000475511174512
1990-05-11,2089.0,2102.0,2081.0,2092.0,0,2092.0,-0.00570342205323
1990-05-14,2099.0,2099.0,2083.0,2090.0,0,2090.0,-0.000956022944551
1990-05-15,2088.0,2088.0,2064.0,2070.0,0,2070.0,-0.00956937799043
1990-05-16,2068.0,2080.0,2057.0,2071.0,0,2071.0,0.00048309178744
1990-05-17,2069.0,2105.0,2069.0,2104.0,0,2104.0,0.0159343312409
1990-05-18,2110.0,2120.0,2096.0,2100.0,0,2100.0,-0.00190114068441
1990-05-21,2083.0,2094.0,2075.0,2092.0,0,2092.0,-0.00380952380952
1990-05-22,2094.0,2117.0,2093.0,2115.0,0,2115.0,0.0109942638623
1990-05-23,2136.0,2141.0,2117.0,2123.0,0,2123.0,0.00378250591017
1990-05-25,2124.0,2124.0,2110.0,2112.0,0,2112.0,-0.00518134715026
1990-05-28,2098.0,2116.0,2093.0,2114.0,0,2114.0,0.00094696969697
1990-05-29,2109.0,2125.0,2107.0,2123.0,0,2123.0,0.0042573320719
1990-05-30,2135.0,2140.0,2116.0,2121.0,0,2121.0,-0.000942063118229
1990-05-31,2120.0,2121.0,2094.0,2107.0,0,2107.0,-0.00660066006601
1990-06-01,2102.0,2102.0,2083.0,2087.0,0,2087.0,-0.00949216896061
1990-06-05,2090.0,2091.0,2065.0,2069.0,0,2069.0,-0.00862482031624
1990-06-06,2057.0,2068.0,2041.0,2045.0,0,2045.0,-0.0115998066699
1990-06-07,2046.0,2059.0,2045.0,2045.0,0,2045.0,0.0
1990-06-08,2045.0,2050.0,2016.0,2021.0,0,2021.0,-0.0117359413203
1990-06-11,1998.0,2010.0,1988.0,2001.0,0,2001.0,-0.00989609104404
1990-06-12,2009.0,2012.0,1998.0,2006.0,0,2006.0,0.00249875062469
1990-06-13,2022.0,2034.0,2011.0,2026.0,0,2026.0,0.00997008973081
1990-06-14,2034.0,2035.0,2021.0,2028.0,0,2028.0,0.000987166831194
1990-06-15,2025.0,2029.0,2009.0,2012.0,0,2012.0,-0.00788954635108
1990-06-18,2008.0,2012.0,1987.0,1988.0,0,1988.0,-0.0119284294235
1990-06-19,1972.0,2003.0,1972.0,2000.0,0,2000.0,0.00603621730382
1990-06-20,2002.0,2009.0,1999.0,2004.0,0,2004.0,0.002
1990-06-21,2004.0,2017.0,2003.0,2008.0,0,2008.0,0.00199600798403
1990-06-22,2032.0,2037.0,2023.0,2032.0,0,2032.0,0.0119521912351
1990-06-25,2034.0,2045.0,2025.0,2040.0,0,2040.0,0.00393700787402
1990-06-26,2044.0,2056.0,2040.0,2053.0,0,2053.0,0.00637254901961
1990-06-27,2048.0,2059.0,2031.0,2034.0,0,2034.0,-0.00925474914759
1990-06-28,2036.0,2053.0,2029.0,2038.0,0,2038.0,0.00196656833825
1990-06-29,2039.0,2050.0,2019.0,2035.0,0,2035.0,-0.00147203140334
1990-07-02,2025.0,2035.0,2024.0,2035.0,0,2035.0,0.0
1990-07-03,2034.0,2046.0,2029.0,2031.0,0,2031.0,-0.0019656019656
1990-07-04,2027.0,2032.0,2013.0,2032.0,0,2032.0,0.000492368291482
1990-07-05,2016.0,2016.0,1987.0,2000.0,0,2000.0,-0.0157480314961
1990-07-06,1990.0,2002.0,1989.0,2002.0,0,2002.0,0.001
1990-07-09,2005.0,2009.0,1989.0,2002.0,0,2002.0,0.0
1990-07-10,1985.0,1986.0,1957.0,1963.0,0,1963.0,-0.0194805194805
1990-07-11,1953.0,1975.0,1950.0,1970.0,0,1970.0,0.00356597045339
1990-07-12,1979.0,1983.0,1972.0,1975.0,0,1975.0,0.00253807106599
1990-07-13,1989.0,2002.0,1984.0,1998.0,0,1998.0,0.0116455696203
1990-07-16,2001.0,2016.0,1998.0,2015.0,0,2015.0,0.00850850850851
1990-07-17,2024.0,2025.0,2015.0,2019.0,0,2019.0,0.00198511166253
1990-07-18,2023.0,2036.0,2023.0,2029.0,0,2029.0,0.00495294700347
1990-07-19,2028.0,2030.0,2021.0,2023.0,0,2023.0,-0.00295712173484
1990-07-20,2025.0,2031.0,2017.0,2031.0,0,2031.0,0.00395452298566
1990-07-23,2021.0,2026.0,1970.0,1990.0,0,1990.0,-0.0201870999508
1990-07-24,1997.0,2000.0,1985.0,1995.0,0,1995.0,0.00251256281407
1990-07-25,2005.0,2006.0,1995.0,1998.0,0,1998.0,0.0015037593985
1990-07-26,2001.0,2005.0,1981.0,1984.0,0,1984.0,-0.00700700700701
1990-07-27,1973.0,1973.0,1956.0,1965.0,0,1965.0,-0.00957661290323
1990-07-30,1959.0,1961.0,1945.0,1955.0,0,1955.0,-0.00508905852417
1990-07-31,1967.0,1971.0,1955.0,1965.0,0,1965.0,0.00511508951407
1990-08-01,1959.0,1966.0,1953.0,1960.0,0,1960.0,-0.00254452926209
1990-08-02,1949.0,1960.0,1897.0,1916.0,0,1916.0,-0.0224489795918
1990-08-03,1906.0,1912.0,1861.0,1869.0,0,1869.0,-0.0245302713987
1990-08-06,1826.0,1833.0,1737.0,1774.0,0,1774.0,-0.0508293204922
1990-08-07,1757.0,1816.0,1755.0,1812.0,0,1812.0,0.021420518602
1990-08-08,1805.0,1805.0,1725.0,1757.0,0,1757.0,-0.030353200883
1990-08-09,1774.0,1784.0,1765.0,1780.0,0,1780.0,0.0130904951622
1990-08-10,1791.0,1796.0,1770.0,1778.0,0,1778.0,-0.00112359550562
1990-08-13,1737.0,1740.0,1706.0,1721.0,0,1721.0,-0.0320584926884
1990-08-14,1736.0,1744.0,1704.0,1712.0,0,1712.0,-0.00522951772225
1990-08-16,1725.0,1733.0,1712.0,1723.0,0,1723.0,0.00642523364486
1990-08-17,1679.0,1683.0,1650.0,1665.0,0,1665.0,-0.0336622170633
1990-08-20,1642.0,1644.0,1587.0,1611.0,0,1611.0,-0.0324324324324
1990-08-21,1615.0,1617.0,1526.0,1546.0,0,1546.0,-0.04034761018
1990-08-22,1510.0,1592.0,1507.0,1586.0,0,1586.0,0.025873221216
1990-08-23,1540.0,1553.0,1519.0,1553.0,0,1553.0,-0.0208070617907
1990-08-24,1585.0,1621.0,1575.0,1617.0,0,1617.0,0.0412105602061
1990-08-27,1693.0,1703.0,1669.0,1700.0,0,1700.0,0.0513296227582
1990-08-28,1705.0,1705.0,1665.0,1680.0,0,1680.0,-0.0117647058824
1990-08-29,1671.0,1703.0,1651.0,1698.0,0,1698.0,0.0107142857143
1990-08-30,1717.0,1747.0,1716.0,1723.0,0,1723.0,0.0147232037691
1990-08-31,1716.0,1716.0,1682.0,1690.0,0,1690.0,-0.0191526407429
1990-09-03,1668.0,1669.0,1637.0,1644.0,0,1644.0,-0.0272189349112
1990-09-04,1616.0,1621.0,1592.0,1621.0,0,1621.0,-0.0139902676399
1990-09-05,1632.0,1639.0,1611.0,1638.0,0,1638.0,0.0104873534855
1990-09-06,1631.0,1631.0,1606.0,1609.0,0,1609.0,-0.0177045177045
1990-09-07,1591.0,1619.0,1591.0,1619.0,0,1619.0,0.00621504039776
1990-09-10,1675.0,1687.0,1659.0,1662.0,0,1662.0,0.0265596046943
