,Date,SP_Adj_Close,gdp_quarter,M1,cpi,ppi,M2,t10,t2,spread
0,1993-01-01,435.380005,6748.2,1030.4,142.8,118.4,3417.2,4.45857142857,3.22994505495,1.22862637363
1,1993-04-01,450.299988,6829.6,1047.6,143.8,119.7,3407.2,6.06,3.94,2.12
2,1993-07-01,449.019989,6904.2,1084.6,144.5,119.3,3434.1,5.8,3.99,1.81
3,1993-10-01,461.279999,7032.8,1113.1,145.6,119.4,3451.1,5.34,3.84,1.5
4,1994-01-01,465.440002,7136.3,1131.6,146.3,119.3,3465.1,5.92,4.3,1.62
5,1994-04-01,438.920013,7269.8,1141.1,147.2,120.1,3477.1,6.63,5.245,1.385
6,1994-07-01,446.200012,7352.3,1150.7,148.4,120.9,3475.7,7.34,6.19,1.15
7,1994-10-01,461.73999,7476.7,1150.2,149.4,121.5,3477.2,7.66,6.69,0.97
8,1995-01-01,459.109985,7545.3,1151.4,150.5,122.6,3476.5,7.4,6.72,0.68
9,1995-04-01,501.850006,7604.9,1149.3,151.8,124.1,3480.8,7.14,6.75,0.39
10,1995-07-01,547.090027,7706.5,1145.5,152.6,124.4,3548.1,6.21,5.79,0.42
11,1995-10-01,581.719971,7799.5,1137.3,153.5,125.1,3599.8,6.15,5.82,0.33
12,1996-01-01,620.72998,7893.1,1123.5,154.7,125.8,3631.7,6.23,5.805,0.425
13,1996-04-01,653.72998,8061.5,1124.8,156.1,126.8,3690.1,6.31,5.79,0.52
14,1996-07-01,675.880005,8159.0,1112.4,157.0,127.1,3724.6,6.74,6.15,0.59
15,1996-10-01,689.080017,8287.1,1085.7,158.2,128.2,3753.3,6.65,6.03,0.62
16,1997-01-01,737.01001,8402.1,1081.2,159.4,128.1,3812.9,6.775,6.225,0.55
17,1997-04-01,759.640015,8551.9,1063.9,159.9,127.7,3859.3,6.9,6.42,0.48
18,1997-07-01,891.030029,8691.8,1065.5,160.4,126.9,3904.4,6.45,6.02,0.43
19,1997-10-01,955.409973,8788.3,1065.6,161.5,127.6,3968.6,6.04,5.75,0.29
20,1998-01-01,975.039978,8889.7,1074.0,162.0,126.4,4037.2,5.83,5.65,0.18
21,1998-04-01,1108.150024,8994.7,1076.5,162.2,126.2,4117.1,5.62,5.55,0.07
22,1998-07-01,1148.560059,9146.5,1075.1,163.2,126.2,4189.0,5.44,5.46,-0.02
23,1998-10-01,986.390015,9325.7,1086.0,163.9,126.4,4264.3,4.33,4.17,0.16
24,1999-01-01,1228.099976,9447.1,1098.1,164.7,126.2,4373.0,4.8,4.59,0.21
25,1999-04-01,1293.719971,9557.0,1101.6,165.9,127.4,4430.1,5.27,5.01,0.26
26,1999-07-01,1380.959961,9712.3,1099.1,166.7,128.3,4493.6,5.85,5.58,0.27
27,1999-10-01,1282.810059,9926.1,1103.3,168.1,130.2,4556.1,6.0,5.73,0.27
28,2000-01-01,1455.219971,10031.0,1122.0,169.3,130.8,4633.2,6.58,6.38,0.2
29,2000-04-01,1505.969971,10278.3,1114.6,170.9,132.6,4713.0,6.0,6.45,-0.45
30,2000-07-01,1469.540039,10357.4,1104.7,172.7,133.9,4753.8,6.0,6.31,-0.31
31,2000-10-01,1436.22998,10472.3,1098.5,173.9,134.9,4841.7,5.83,5.98,-0.15
32,2001-01-01,1283.27002,10508.1,1096.3,175.6,134.8,4932.8,5.405,5.1,0.305
33,2001-04-01,1145.869995,10638.4,1115.2,176.4,135.6,5075.8,4.98,4.22,0.76
34,2001-07-01,1236.719971,10639.5,1140.5,177.4,134.4,5160.8,5.37,4.21,1.16
35,2001-10-01,1038.550049,10701.3,1165.3,177.6,133.7,5311.3,4.55,2.82,1.73
36,2002-01-01,1154.670044,10834.4,1189.9,177.7,131.7,5419.4,4.995,3.28,1.715
37,2002-04-01,1146.540039,10934.8,1184.8,179.3,133.8,5465.7,5.44,3.74,1.7
38,2002-07-01,968.650024,11037.1,1200.9,180.0,133.6,5534.8,4.85,2.88,1.97
39,2002-10-01,847.909973,11103.8,1203.4,181.2,135.6,5641.7,3.72,1.8,1.92
40,2003-01-01,909.030029,11230.1,1226.3,182.6,135.7,5751.6,3.78,1.65,2.13
41,2003-04-01,858.47998,11370.7,1247.6,183.2,136.3,5838.9,3.84,1.5,2.34
42,2003-07-01,982.320007,11625.1,1288.9,183.7,136.4,6004.6,3.56,1.3,2.26
43,2003-10-01,1018.219971,11816.8,1296.9,184.9,138.2,6023.8,3.96,1.47,2.49
44,2004-01-01,1108.47998,11988.4,1305.1,186.3,138.9,6030.7,3.935,1.56,2.375
45,2004-04-01,1132.170044,12181.4,1330.3,187.4,141.8,6135.1,3.91,1.65,2.26
46,2004-07-01,1128.939941,12367.7,1341.4,189.1,143.2,6239.7,4.57,2.64,1.93
47,2004-10-01,1131.5,12562.2,1361.2,190.8,146.5,6320.0,4.21,2.63,1.58
48,2005-01-01,1202.079956,12813.7,1366.7,191.6,146.2,6367.6,4.23,3.1,1.13
49,2005-04-01,1172.920044,12974.1,1356.5,193.7,149.6,6412.8,4.46,3.75,0.71
50,2005-07-01,1194.439941,13205.4,1368.3,194.9,151.0,6487.2,4.06,3.76,0.3
